NorthEast Residential	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050
NorthEast Industrial	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050
Electricity	27.35	27.58	27.73	27.50	27.89	28.52	28.91	29.27	28.98	28.48	27.94	27.56	27.28	27.60	27.80	27.41	27.39	27.32	27.69	27.91	27.70	27.66	28.05	27.92	28.07	28.22	28.20	28.41	28.52	28.46	28.57
Distillate Oil	21.76	21.24	20.88	20.46	20.19	19.82	20.00	20.12	20.39	20.63	20.77	21.00	21.20	21.49	21.73	21.95	22.20	22.38	22.58	22.81	22.88	23.03	23.35	23.58	23.78	24.09	24.22	24.42	24.69	24.90	25.05
Residual Oil	4.01	4.47	5.73	6.93	8.23	9.58	9.96	10.21	10.27	10.59	10.81	11.06	11.23	11.44	11.58	11.79	12.02	12.17	12.34	12.61	12.93	13.24	13.48	13.69	13.86	13.96	14.23	14.34	14.47	14.67	14.97
Natural Gas	5.27	5.28	5.21	5.08	5.05	5.14	5.22	5.30	5.32	5.30	5.25	5.23	5.23	5.30	5.35	5.34	5.30	5.32	5.35	5.35	5.35	5.37	5.39	5.39	5.39	5.41	5.45	5.50	5.52	5.55	5.58
Coal	3.08	3.02	3.02	3.04	3.07	3.11	3.11	3.13	3.14	3.15	3.16	3.16	3.16	3.16	3.15	3.13	3.13	3.13	3.13	3.13	3.13	3.14	3.15	3.18	3.20	3.22	3.22	3.23	3.23	3.24	3.25

MidWest Residential	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050
Electricity	37.27	37.26	37.29	37.17	37.15	37.25	37.32	37.26	37.12	36.99	36.96	36.85	36.78	36.72	36.66	36.53	36.35	36.20	36.06	35.90	35.75	35.62	35.51	35.33	35.20	35.12	35.03	34.97	34.84	34.65	34.42
Distillate Oil	18.15	17.25	16.72	16.16	15.78	15.28	15.41	15.55	15.82	16.06	16.21	16.47	16.66	17.02	17.30	17.54	17.80	17.99	18.21	18.46	18.56	18.73	19.08	19.30	19.52	19.86	20.04	20.33	20.66	20.90	21.09
Natural Gas	8.42	8.47	8.48	8.48	8.50	8.62	8.83	9.04	9.20	9.30	9.33	9.32	9.35	9.42	9.51	9.55	9.57	9.62	9.67	9.71	9.74	9.77	9.80	9.84	9.87	9.91	9.97	10.03	10.08	10.13	10.19
LPG	24.59	24.82	25.55	26.38	27.26	28.34	29.56	30.62	31.44	32.03	32.36	32.56	32.74	33.05	33.42	33.84	34.30	34.81	35.34	35.86	36.35	36.80	37.33	37.85	38.35	38.84	39.33	39.86	40.43	40.97	41.47

MidWest Commercial	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050
Electricity	29.55	29.07	28.78	28.52	28.35	28.34	28.31	28.17	27.96	27.75	27.60	27.39	27.24	27.11	27.00	26.83	26.65	26.49	26.35	26.18	26.03	25.89	25.76	25.57	25.42	25.32	25.20	25.12	25.01	24.86	24.69
Distillate Oil	19.99	19.05	18.28	17.45	16.79	16.01	16.08	16.21	16.48	16.72	16.86	17.10	17.30	17.65	17.90	18.13	18.38	18.56	18.76	19.00	19.06	19.21	19.55	19.77	19.96	20.30	20.43	20.65	20.92	21.12	21.29
Residual Oil	3.63	4.29	5.82	7.10	8.56	10.00	10.17	10.62	10.49	10.73	11.01	11.49	11.52	11.79	11.92	12.09	12.36	12.55	12.76	13.07	13.42	13.75	13.98	14.19	14.36	14.46	14.73	14.85	14.97	15.17	15.47
Natural Gas	6.40	6.40	6.41	6.43	6.47	6.60	6.79	6.95	7.06	7.12	7.13	7.09	7.10	7.16	7.22	7.25	7.25	7.28	7.32	7.34	7.35	7.37	7.40	7.42	7.44	7.48	7.52	7.57	7.61	7.66	7.70
Coal	3.07	3.07	3.06	3.05	3.06	3.07	3.06	3.06	3.05	3.04	3.03	3.03	3.04	3.04	3.04	3.05	3.04	3.04	3.04	3.04	3.03	3.04	3.05	3.06	3.06	3.07	3.07	3.07	3.08	3.08	3.08

MidWest Industrial	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050
Electricity	20.58	20.03	19.77	19.57	19.44	19.40	19.42	19.38	19.23	19.10	19.01	18.88	18.77	18.70	18.67	18.60	18.51	18.43	18.37	18.29	18.21	18.13	18.06	17.95	17.86	17.81	17.76	17.73	17.68	17.61	17.54
Distillate Oil	20.47	19.45	18.62	17.72	16.99	16.14	16.20	16.33	16.59	16.83	16.97	17.21	17.41	17.76	18.00	18.23	18.48	18.66	18.86	19.09	19.15	19.30	19.63	19.85	20.04	20.38	20.50	20.71	20.97	21.17	21.33
Residual Oil	3.44	4.14	5.71	7.02	8.56	10.08	10.19	10.70	10.52	10.73	11.01	11.51	11.53	11.92	11.96	12.09	12.48	12.59	12.76	13.07	13.53	13.84	14.11	14.31	14.50	14.61	14.89	15.00	15.13	15.32	15.56
Natural Gas	3.67	3.69	3.71	3.74	3.81	3.97	4.18	4.35	4.45	4.49	4.46	4.41	4.40	4.45	4.49	4.50	4.49	4.51	4.53	4.54	4.54	4.54	4.55	4.56	4.57	4.59	4.62	4.67	4.70	4.73	4.77
Coal	2.10	2.14	2.13	2.11	2.11	2.12	2.12	2.13	2.13	2.13	2.14	2.14	2.15	2.15	2.16	2.16	2.16	2.17	2.17	2.18	2.18	2.19	2.19	2.20	2.20	2.21	2.21	2.22	2.22	2.23	2.23

South Residential	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050
Electricity	31.89	31.82	31.90	31.94	32.22	32.60	32.96	33.18	33.23	33.19	33.12	32.97	32.83	32.83	32.82	32.67	32.53	32.41	32.36	32.26	32.11	31.98	31.70	31.65	31.61	31.51	31.38	31.30	31.21	31.05	30.90
Distillate Oil	21.30	21.41	21.90	22.35	22.96	23.50	23.90	24.00	24.29	24.53	24.66	24.91	25.10	25.41	25.69	25.92	26.18	26.37	26.59	26.84	26.93	27.12	27.46	27.73	27.91	28.21	28.42	28.66	29.02	29.29	29.41
Natural Gas	11.55	11.58	11.64	11.74	11.89	12.10	12.31	12.49	12.62	12.71	12.76	12.78	12.83	12.92	13.01	13.08	13.12	13.18	13.24	13.30	13.34	13.39	13.45	13.50	13.55	13.61	13.68	13.76	13.82	13.89	13.96
LPG	22.76	22.98	23.66	24.43	25.25	26.25	27.38	28.36	29.13	29.68	29.98	30.17	30.34	30.63	30.98	31.37	31.80	32.28	32.78	33.26	33.72	34.14	34.63	35.12	35.59	36.05	36.51	37.00	37.54	38.05	38.52

South Commercial	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050
Electricity	26.50	26.11	25.93	25.81	25.97	26.21	26.47	26.61	26.57	26.47	26.35	26.15	25.94	25.92	25.88	25.71	25.59	25.47	25.44	25.34	25.17	25.03	24.79	24.72	24.69	24.58	24.45	24.39	24.33	24.19	24.08
Distillate Oil	21.08	20.53	20.14	19.68	19.38	18.96	19.13	19.26	19.53	19.78	19.92	20.16	20.36	20.65	20.91	21.13	21.37	21.56	21.76	21.99	22.07	22.22	22.55	22.78	22.98	23.30	23.43	23.64	23.92	24.13	24.28
Residual Oil	4.22	4.89	6.51	8.08	10.16	12.46	13.09	13.40	13.41	13.72	14.00	14.27	14.44	14.57	14.68	14.90	15.09	15.34	15.55	15.81	16.13	16.45	16.68	16.90	17.06	17.16	17.44	17.55	17.68	17.87	18.18
Natural Gas	7.74	7.83	7.93	8.09	8.30	8.57	8.77	8.91	9.00	9.05	9.06	9.06	9.08	9.14	9.20	9.23	9.24	9.27	9.31	9.33	9.36	9.38	9.41	9.43	9.46	9.50	9.54	9.59	9.63	9.67	9.72
Coal	3.60	3.61	3.64	3.66	3.73	3.79	3.83	3.89	3.93	3.96	3.97	3.97	3.98	3.98	4.00	4.02	4.04	4.05	4.06	4.07	4.08	4.10	4.10	4.12	4.14	4.17	4.19	4.22	4.24	4.27	4.31

South Industrial	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050
Electricity	16.94	16.42	16.18	16.09	16.18	16.43	16.73	16.92	16.98	16.94	16.82	16.68	16.60	16.58	16.56	16.49	16.41	16.37	16.35	16.29	16.21	16.14	15.98	15.98	15.96	15.89	15.84	15.83	15.82	15.78	15.75
Distillate Oil	21.60	21.15	20.86	20.50	20.30	19.95	20.15	20.29	20.56	20.81	20.95	21.19	21.39	21.68	21.93	22.16	22.40	22.58	22.78	23.01	23.08	23.23	23.56	23.78	23.98	24.30	24.42	24.63	24.89	25.09	25.24
Residual Oil	4.22	4.93	6.81	8.62	10.47	12.33	12.84	13.15	13.16	13.47	13.74	14.01	14.18	14.32	14.44	14.66	14.85	15.09	15.29	15.56	15.88	16.19	16.43	16.64	16.81	16.91	17.18	17.29	17.42	17.62	17.92
Natural Gas	2.97	2.98	2.98	3.00	3.07	3.25	3.48	3.65	3.75	3.78	3.75	3.70	3.71	3.75	3.80	3.81	3.80	3.83	3.85	3.86	3.87	3.86	3.88	3.89	3.90	3.92	3.95	3.99	4.02	4.04	4.08
Coal	3.16	3.16	3.17	3.19	3.22	3.25	3.27	3.30	3.32	3.35	3.37	3.39	3.41	3.43	3.45	3.47	3.49	3.51	3.53	3.55	3.57	3.59	3.62	3.63	3.65	3.67	3.69	3.71	3.73	3.76	3.78

West Residential	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	
Electricity	40.14	39.74	39.19	39.90	40.38	41.09	42.13	42.68	42.89	43.10	43.42	43.83	44.09	44.33	44.64	44.79	44.81	44.86	44.91	44.85	44.84	44.85	44.96	44.97	45.00	45.07	45.15	45.22	45.21	45.20	45.13
Distillate Oil	21.20	21.29	21.73	22.13	22.67	23.07	23.44	23.56	23.86	24.10	24.33	24.61	24.81	25.15	25.41	25.64	25.90	26.06	26.26	26.50	26.61	26.78	27.12	27.34	27.55	27.94	28.06	28.38	28.71	28.97	29.13
Natural Gas	10.80	10.80	10.63	10.47	10.35	10.30	10.45	10.63	10.75	10.82	11.80	12.15	12.19	12.40	12.51	12.56	12.60	12.66	12.72	12.76	12.79	12.82	12.85	12.88	12.93	12.97	13.02	13.09	13.16	13.22	13.28
LPG	22.15	22.34	22.99	23.72	24.50	25.45	26.53	27.47	28.19	28.72	29.80	30.24	30.39	30.77	31.14	31.51	31.92	32.37	32.84	33.30	33.73	34.14	34.60	35.06	35.51	35.95	36.38	36.85	37.36	37.84	38.29

West Commercial	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050
Electricity	35.80	34.83	34.69	35.12	35.15	35.75	36.42	36.62	36.56	36.50	36.59	36.73	36.67	36.60	36.64	36.52	36.29	36.13	35.98	35.75	35.52	35.31	35.22	35.04	34.87	34.74	34.65	34.58	34.42	34.29	34.12
Distillate Oil	22.66	22.17	21.79	21.34	21.02	20.55	20.72	20.86	21.14	21.39	22.69	23.33	23.53	24.01	24.30	24.52	24.78	24.95	25.14	25.37	25.45	25.60	25.93	26.16	26.35	26.71	26.81	27.07	27.33	27.53	27.72
Residual Oil	5.30	5.67	6.79	7.86	9.02	10.17	10.56	10.80	10.92	11.24	11.53	11.78	11.97	12.20	12.41	12.62	12.82	13.04	13.24	13.48	13.71	13.92	14.20	14.42	14.59	14.77	14.96	15.15	15.38	15.60	15.82
Natural Gas	7.73	7.77	7.83	7.91	8.04	8.23	8.43	8.57	8.68	8.74	9.56	9.80	9.80	9.98	10.09	10.13	10.17	10.23	10.28	10.33	10.36	10.39	10.43	10.47	10.52	10.57	10.63	10.71	10.78	10.85	10.92
Coal	5.31	5.26	5.23	5.22	5.20	5.18	5.16	5.16	5.14	5.13	5.12	5.11	5.10	5.10	5.09	5.08	5.07	5.07	5.06	5.05	5.04	5.04	5.03	5.02	5.02	5.01	5.01	5.00	5.00	4.99	4.98

West Industrial	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050
Electricity	22.47	21.03	20.88	21.08	21.05	21.50	21.85	21.95	21.91	21.87	21.85	21.91	21.89	21.92	22.00	22.00	21.90	21.86	21.82	21.73	21.63	21.55	21.54	21.48	21.44	21.40	21.39	21.38	21.34	21.35	21.34
Distillate Oil	22.38	21.98	21.71	21.35	21.14	20.76	20.96	21.11	21.38	21.62	21.77	22.01	22.22	22.52	22.75	22.97	23.23	23.40	23.59	23.82	23.89	24.04	24.37	24.59	24.78	25.13	25.23	25.47	25.72	25.91	26.09
Residual Oil	5.69	5.75	6.87	7.92	9.05	10.15	10.54	10.76	10.90	11.22	11.51	11.76	11.95	12.20	12.44	12.65	12.85	13.06	13.26	13.50	13.70	13.88	14.17	14.39	14.57	14.77	14.93	15.15	15.42	15.65	15.83
Natural Gas	4.28	4.33	4.19	4.13	4.20	4.38	4.64	4.83	4.95	4.98	4.89	4.83	4.84	4.89	4.95	4.98	5.00	5.07	5.12	5.15	5.16	5.16	5.17	5.19	5.23	5.26	5.31	5.38	5.45	5.51	5.57
Coal	3.21	3.20	3.20	3.21	3.21	3.21	3.21	3.22	3.22	3.22	3.22	3.23	3.23	3.23	3.23	3.23	3.23	3.24	3.24	3.24	3.24	3.25	3.25	3.26	3.26	3.26	3.27	3.27	3.28	3.28	3.29

U.S. Avg Residential	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050
Electricity	36.45	36.48	36.55	36.72	37.06	37.55	38.05	38.36	38.39	38.28	38.27	38.21	38.12	38.20	38.27	38.14	38.02	37.90	37.90	37.83	37.68	37.59	37.49	37.39	37.35	37.30	37.19	37.15	37.06	36.88	36.72
Distillate Oil	21.44	21.55	22.06	22.51	23.11	23.60	23.98	24.10	24.36	24.59	24.73	24.96	25.15	25.44	25.68	25.90	26.13	26.31	26.50	26.72	26.79	26.93	27.25	27.47	27.66	27.97	28.10	28.30	28.56	28.76	28.91
Natural Gas	10.11	10.11	10.08	10.04	10.05	10.16	10.33	10.50	10.62	10.69	10.91	10.98	11.01	11.12	11.22	11.27	11.28	11.34	11.39	11.44	11.47	11.51	11.55	11.59	11.62	11.68	11.73	11.80	11.86	11.92	11.98
LPG	21.17	21.38	22.00	22.70	23.46	24.38	25.42	26.32	27.03	27.53	27.94	28.15	28.31	28.59	28.92	29.28	29.68	30.12	30.57	31.02	31.44	31.83	32.29	32.74	33.17	33.60	34.02	34.48	34.98	35.45	35.89

U.S. Avg Commercial	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050
Electricity	30.37	30.00	29.88	29.85	29.97	30.33	30.71	30.91	30.80	30.56	30.45	30.30	30.07	30.07	30.07	29.89	29.73	29.58	29.58	29.49	29.30	29.19	29.12	28.98	28.92	28.84	28.72	28.68	28.59	28.43	28.30
Distillate Oil	21.52	20.89	20.42	19.88	19.49	18.98	19.13	19.25	19.52	19.75	20.12	20.43	20.62	20.96	21.22	21.44	21.68	21.86	22.06	22.29	22.36	22.51	22.84	23.06	23.25	23.58	23.71	23.92	24.19	24.40	24.56
Residual Oil	4.17	4.67	5.97	7.16	8.41	9.74	10.09	10.37	10.41	10.72	10.94	11.22	11.38	11.59	11.73	11.94	12.17	12.33	12.50	12.77	13.09	13.41	13.64	13.85	14.02	14.12	14.39	14.51	14.64	14.83	15.14
Natural Gas	7.24	7.27	7.32	7.36	7.47	7.66	7.83	7.96	8.04	8.08	8.21	8.23	8.23	8.32	8.38	8.41	8.40	8.44	8.48	8.50	8.52	8.54	8.57	8.59	8.61	8.65	8.69	8.75	8.78	8.83	8.88
Coal	3.97	3.96	3.95	3.94	3.96	3.98	3.97	3.97	3.97	3.95	3.95	3.95	3.95	3.95	3.95	3.94	3.93	3.94	3.93	3.92	3.91	3.91	3.93	3.95	3.96	3.97	3.97	3.97	3.97	3.97	3.97

U.S. Avg Industrial	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050
Electricity	19.88	19.25	19.04	18.96	18.98	19.22	19.46	19.57	19.53	19.43	19.30	19.18	19.08	19.09	19.10	19.02	18.93	18.88	18.88	18.83	18.73	18.67	18.61	18.56	18.52	18.48	18.44	18.45	18.44	18.40	18.38
Distillate Oil	21.45	20.84	20.38	19.86	19.50	18.99	19.15	19.29	19.56	19.81	19.95	20.19	20.40	20.71	20.96	21.18	21.43	21.61	21.81	22.04	22.12	22.27	22.60	22.82	23.02	23.36	23.48	23.70	23.96	24.16	24.33
Residual Oil	4.19	4.80	6.50	8.13	9.85	11.57	12.00	12.33	12.33	12.63	12.89	13.20	13.34	13.54	13.65	13.85	14.08	14.29	14.48	14.76	15.09	15.40	15.64	15.86	16.03	16.13	16.40	16.52	16.65	16.85	17.13
Natural Gas	3.48	3.51	3.49	3.48	3.54	3.71	3.93	4.10	4.20	4.23	4.18	4.13	4.13	4.18	4.23	4.24	4.23	4.26	4.29	4.30	4.30	4.30	4.31	4.33	4.34	4.36	4.40	4.44	4.48	4.51	4.55
Coal	2.60	2.63	2.63	2.63	2.64	2.65	2.66	2.67	2.68	2.69	2.70	2.70	2.71	2.72	2.72	2.73	2.73	2.74	2.75	2.76	2.76	2.78	2.79	2.80	2.81	2.82	2.83	2.83	2.84	2.86	2.87
